ID_Cliente,TaxaMediaPonderada,VarianciaTaxa,TaxaMinima,TaxaMaxima,VolumeTotal,VolumeMediaMensal,VolatilidadeMensal,NumeroOperacoes,BandaCliente,TicketMedio,FrequenciaOperacional,SpreadEfetivo,Calculated_TicketMedio
34,0.0248834002020493,1.7213540166204995e-05,0.0144999999999999,0.037,346450.0,38494.444444444445,,9,0 to 100,0,,,38494.444444444445
39,0.0241283558926271,3.0158656920523643e-05,0.0098999999999999,0.037,12637796.62,1404199.6244444444,,9,500+,0,,,1404199.6244444444
55,0.0116055991862452,2.369250000000001e-05,0.01,0.0199,85028.07,9447.563333333334,,9,0 to 100,0,,,9447.563333333334
56,0.0359652173913043,7.857555555555556e-05,0.0204999999999999,0.0418,2300.0,1150.0,,2,0 to 100,0,,,1150.0
66,0.0377292431118836,4.519715024418272e-05,0.025,0.05,124272.0,13808.0,,9,0 to 100,0,,,13808.0
67,0.0356777943368107,1.6849586776859514e-05,0.025,0.0395,167750.0,18638.88888888889,,9,0 to 100,0,,,18638.88888888889
76,0.0618753554502369,1.3175555555555596e-05,0.0559999999999999,0.0637,10550.0,3516.6666666666665,,3,0 to 100,0,,,3516.6666666666665
84,0.0433461538461538,2.499999999999997e-05,0.037,0.047,5200.0,5200.0,,1,0 to 100,0,,,5200.0
94,0.0233687272586012,4.306505955555554e-05,0.0084,0.0324,154454.0,17161.555555555555,,9,0 to 100,0,,,17161.555555555555
99,0.0318039053254437,3.360000000000001e-05,0.0239,0.0379,591500.0,65722.22222222222,,9,0 to 100,0,,,65722.22222222222
101,,,,,1634678.55,181630.95,,9,100 to 500,0,,,181630.95
105,0.0377270366598778,0.0001288224999999,0.0195,0.0421999999999999,151600.0,16844.444444444445,,9,0 to 100,0,,,16844.444444444445
111,0.038432878937703,3.266250000000003e-05,0.0219,0.0419,107894.11,11988.234444444444,,9,0 to 100,0,,,11988.234444444444
119,0.0210257298148777,2.75625e-05,0.0113999999999999,0.0219,473579.0,52619.88888888889,,9,0 to 100,0,,,52619.88888888889
121,0.0220149914031945,4.3643123582766445e-05,0.013,0.035,724240.41,80471.15666666668,,9,0 to 100,0,,,80471.15666666668
122,0.0251588574305205,3.09986694101509e-05,0.0118,0.0315,576070.0,64007.77777777778,,9,0 to 100,0,,,64007.77777777778
128,0.0378285839203675,4.568908163265305e-05,0.0268,0.047,144883.66,16098.184444444443,,9,0 to 100,0,,,16098.184444444443
129,0.0312400894207551,6.268222222222221e-05,0.022,0.042,75374.0,12562.333333333334,,6,0 to 100,0,,,12562.333333333334
150,0.027,0.0,0.027,0.027,20050.0,2227.777777777778,,9,0 to 100,0,,,2227.777777777778
154,0.0270836695607763,7.200000000000003e-05,0.0129,0.0299,234960.0,26106.666666666668,,9,0 to 100,0,,,26106.666666666668
155,0.0362543172553274,6.415834908632637e-05,0.0185,0.0475,256713.5,28523.722222222223,,9,0 to 100,0,,,28523.722222222223
157,0.0204967999740299,2.0698888888888887e-05,0.015,0.0289999999999999,162033.06,18003.673333333332,,9,0 to 100,0,,,18003.673333333332
163,0.0228353850309782,6.627175132190353e-06,0.0147,0.0237999999999999,1781770.01,197974.44555555555,,9,100 to 500,0,,,197974.44555555555
175,0.0211659370725034,3.570741617357004e-05,0.0096,0.0283,731000.0,81222.22222222222,,9,0 to 100,0,,,81222.22222222222
180,0.0203127612037416,4.808374183006537e-05,0.0104,0.0344,822203.0,91355.88888888888,,9,0 to 100,0,,,91355.88888888888
181,0.0333171743833693,0.0002525737618147,0.0085,0.063,100216.05,11135.116666666669,,9,0 to 100,0,,,11135.116666666669
194,0.0200062371487474,6.323825808275992e-05,0.0098,0.0699,2313023.56,257002.61777777772,,9,100 to 500,0,,,257002.61777777775
195,0.02593253033184,5.406953372566773e-05,0.0089,0.031,329481.33,36609.03666666667,,9,0 to 100,0,,,36609.03666666667
196,0.0192126460374876,5.228650137741043e-06,0.0159,0.0229,52537.88,5837.542222222222,,9,0 to 100,0,,,5837.542222222222
197,0.0324,0.0,0.0324,0.0324,385.0,385.0,,1,0 to 100,0,,,385.0
198,0.020979226806993,6.0315924032140254e-05,0.0093999999999999,0.0339,737452.35,81939.15,,9,0 to 100,0,,,81939.15
202,0.0379436612506293,6.604466759002756e-06,0.0349,0.0409999999999999,1283853.0,142650.33333333334,,9,100 to 500,0,,,142650.33333333334
203,0.0232903136579142,7.66928155006859e-05,0.0104,0.0324,562384.5199999999,62487.16888888888,,9,0 to 100,0,,,62487.16888888888
205,0.0187,1.2037062152420224e-35,0.0187,0.0187,54250.0,6027.777777777777,,9,0 to 100,0,,,6027.777777777777
206,0.0197999999999999,0.0,0.0197999999999999,0.0197999999999999,1400.0,1400.0,,1,0 to 100,0,,,1400.0
211,0.0234044574527403,3.456227043158863e-05,0.0124,0.0299,867311.19,96367.91,,9,0 to 100,0,,,96367.91
227,0.035608867297867,1.9100628195763342e-05,0.0214,0.037,143816.97999999998,15979.664444444445,,9,0 to 100,0,,,15979.664444444445
233,0.0229755488572512,3.00916e-05,0.012,0.0268,630198.3400000001,70022.03777777779,,9,0 to 100,0,,,70022.03777777779
238,0.0210417125379018,5.281980277574872e-05,0.0129,0.0496,222423.34,24713.704444444444,,9,0 to 100,0,,,24713.704444444444
240,0.0285746080627099,5.029555555555555e-05,0.026,0.0445,35720.0,3968.8888888888887,,9,0 to 100,0,,,3968.8888888888887
241,0.0211599914114302,2.513255798339844e-05,0.0121999999999999,0.035,993180.5,110353.38888888888,,9,100 to 500,0,,,110353.38888888888
263,0.0217357211308097,2.8960221123829344e-05,0.0166,0.0336,793060.0,88117.77777777778,,9,0 to 100,0,,,88117.77777777778
267,0.0256287517377456,6.351372448979591e-05,0.0135,0.04,402321.71,44702.41222222222,,9,0 to 100,0,,,44702.41222222222
268,0.0250419555182125,3.39775e-05,0.0179,0.0359,279753.71,31083.74555555556,,9,0 to 100,0,,,31083.74555555556
293,0.0216196933396343,1.884856816662954e-05,0.0098999999999999,0.025,825025.43,91669.49222222222,,9,0 to 100,0,,,91669.49222222222
296,0.0242919386946935,4.338590923583804e-05,0.0093,0.0389,233585.0,25953.88888888889,,9,0 to 100,0,,,25953.88888888889
303,0.0234369989804975,6.585371011149563e-05,0.0098999999999999,0.0369,299096.89,33232.98777777778,,9,0 to 100,0,,,33232.98777777778
304,,,,,99280.34,11031.148888888889,,9,0 to 100,0,,,11031.148888888889
306,0.0352,0.0,0.0352,0.0352,6800.0,3400.0,,2,0 to 100,0,,,3400.0
321,0.0170967325658437,6.714295179527873e-05,0.009,0.035,545909.7,60656.63333333333,,9,0 to 100,0,,,60656.63333333333
322,0.0208838173349082,2.6708621883656512e-05,0.0125,0.033,179476.0,19941.777777777777,,9,0 to 100,0,,,19941.777777777777
331,0.0242307171216591,0.0001375914086854,0.0098999999999999,0.0679,763411.47,84823.49666666666,,9,0 to 100,0,,,84823.49666666666
358,0.0291189032562839,4.922749450803563e-05,0.015,0.0401,956050.52,106227.83555555556,,9,100 to 500,0,,,106227.83555555556
365,0.0432642348754448,0.0001864071555555,0.0239,0.0559,28100.0,3122.222222222222,,9,0 to 100,0,,,3122.222222222222
370,0.0314149213619686,3.706976744186046e-05,0.0199,0.0389,427910.0,47545.55555555556,,9,0 to 100,0,,,47545.55555555556
385,0.0348119205298013,2.399999999999999e-05,0.0266,0.0366,7550.0,1510.0,,5,0 to 100,0,,,1510.0
389,0.0452881013470173,0.0001858785639958,0.0109,0.049,31180.0,3464.4444444444443,,9,0 to 100,0,,,3464.4444444444443
397,0.031753552820697,9.167341412742382e-05,0.0149,0.0426999999999999,222640.0,24737.777777777777,,9,0 to 100,0,,,24737.777777777777
398,0.0250704577166061,1.88861871281774e-05,0.015,0.0292,207122.92,23013.65777777778,,9,0 to 100,0,,,23013.65777777778
402,0.0454495759653045,0.0001536659504132,0.032,0.0687,18273.74,2030.415555555556,,9,0 to 100,0,,,2030.415555555556
406,0.0249497635933806,5.555555555555558e-06,0.02,0.025,84600.0,21150.0,,4,0 to 100,0,,,21150.0
408,0.018469585584292,5.0089972299168994e-05,0.0098999999999999,0.0299,278585.0,30953.88888888889,,9,0 to 100,0,,,30953.88888888889
412,0.036075,0.0002736741,0.009,0.0451,8000.0,1142.857142857143,,7,0 to 100,0,,,1142.857142857143
414,0.02644663827954,3.599999999999998e-05,0.0199,0.0319,36244.19,4027.132222222224,,9,0 to 100,0,,,4027.1322222222234
420,0.0367387750908415,0.0001100578472222,0.0295,0.0687,1101658.02,122406.44666666668,,9,100 to 500,0,,,122406.44666666668
426,0.0293184844384303,0.000223622784,0.0089,0.0484999999999999,221700.0,24633.33333333333,,9,0 to 100,0,,,24633.33333333333
435,0.0298022810745496,5.008956573468175e-05,0.0173,0.037,281251.22,31250.13555555556,,9,0 to 100,0,,,31250.135555555556
437,0.0348860552666733,2.500000000000001e-05,0.026,0.036,452895.0,50321.66666666666,,9,0 to 100,0,,,50321.66666666666
449,0.0156151361535418,2.389422413793104e-05,0.0083,0.025,1265729.1,140636.56666666668,,9,100 to 500,0,,,140636.56666666668
451,,,,,350.0,350.0,,1,0 to 100,0,,,350.0
453,0.0320267147793869,4.755965513545956e-05,0.01,0.0499,5538757.0,615417.4444444445,,9,500+,0,,,615417.4444444445
455,0.0242901251177182,9.102222222222222e-06,0.0189,0.0269,74330.0,8258.888888888889,,9,0 to 100,0,,,8258.888888888889
469,0.0395848292425911,0.00010584,0.0189,0.0399,657643.5,73071.5,,9,0 to 100,0,,,73071.5
472,0.0339581399564902,0.0001806286992715,0.0175,0.0533999999999999,110320.0,12257.777777777776,,9,0 to 100,0,,,12257.777777777776
476,0.0215599243584794,3.3571603954081646e-05,0.0116,0.0366,1378269.49,153141.05444444445,,9,100 to 500,0,,,153141.05444444445
477,0.0298793726823238,4.2751875e-05,0.019,0.0341,517760.0,57528.88888888889,,9,0 to 100,0,,,57528.88888888889
499,0.0222336872237954,2.5337669094693023e-05,0.0101,0.0246,1950321.0,216702.3333333333,,9,100 to 500,0,,,216702.3333333333
500,0.0274432719701099,2.729268571428572e-05,0.0184,0.03,719561.83,79951.31444444443,,9,0 to 100,0,,,79951.31444444443
501,0.0573913200723327,0.00035446609375,0.0165,0.0699,113700.0,56850.0,,2,0 to 100,0,,,56850.0
505,0.0228726261935507,8.889110299488676e-05,0.0111,0.04,240528.27,26725.36333333333,,9,0 to 100,0,,,26725.36333333333
506,0.0208392403056613,2.8210502975874173e-05,0.0105,0.035,3032406.96,336934.1066666667,,9,100 to 500,0,,,336934.1066666667
510,0.0559,0.0,0.0559,0.0559,81300.0,9033.333333333334,,9,0 to 100,0,,,9033.333333333334
512,0.0304667334137821,7.656250000000001e-05,0.0175,0.035,149494.6,16610.51111111111,,9,0 to 100,0,,,16610.51111111111
513,0.016,0.0,0.016,0.016,44305.0,4922.777777777777,,9,0 to 100,0,,,4922.777777777777
514,0.0228606003499798,2.6296274999999992e-05,0.0135,0.0269,74290.0,8254.444444444445,,9,0 to 100,0,,,8254.444444444445
519,0.0362776493256262,0.0001031141868512,0.0199,0.0449,51900.0,5766.666666666667,,9,0 to 100,0,,,5766.666666666667
520,0.0300467181467181,1.106172839506172e-05,0.0239,0.0319,15540.0,2220.0,,7,0 to 100,0,,,2220.0
525,0.0278259666374402,5.788208210059172e-05,0.0098999999999999,0.0478,450505.0,50056.11111111111,,9,0 to 100,0,,,50056.11111111111
528,0.0185565782653245,0.0003397695109261,0.011,0.0670999999999999,335990.0,37332.22222222222,,9,0 to 100,0,,,37332.22222222222
534,0.0328837358205586,8.923842944906858e-05,0.01,0.0469,11279900.45,1253322.272222222,,9,500+,0,,,1253322.272222222
541,0.0337791234194951,0.0002589937719008,0.0169,0.0643,450609.21,50067.69,,9,0 to 100,0,,,50067.69
549,0.0381997480444576,0.0003197835067637,0.0085,0.067,312576.4,34730.711111111115,,9,0 to 100,0,,,34730.711111111115
554,0.0310685642963093,1.5999999999999986e-05,0.0239,0.0319,193487.0,21498.555555555555,,9,0 to 100,0,,,21498.555555555555
555,0.0176897261798753,3.377317677514792e-05,0.0081999999999999,0.0262,89840.0,9982.222222222224,,9,0 to 100,0,,,9982.222222222224
560,0.0235895573540341,3.404367768595041e-05,0.0109,0.0279999999999999,242180.0,26908.88888888889,,9,0 to 100,0,,,26908.88888888889
569,0.0191739019447367,5.8268047593293664e-05,0.0116999999999999,0.0346,514580.0,57175.55555555556,,9,0 to 100,0,,,57175.55555555556
579,0.02228369581299,1.907439446366783e-05,0.0139999999999999,0.0245,40554.0,6759.0,,6,0 to 100,0,,,6759.0
582,0.0505329072704992,0.0003803977731529,0.0085,0.0669,175715.09000000003,19523.898888888893,,9,0 to 100,0,,,19523.898888888893
583,0.015951190348295,1.0613707750000004e-05,0.0093999999999999,0.0208,1210066.0,134451.77777777778,,9,100 to 500,0,,,134451.77777777778
586,0.0251294419890481,9.187499999999996e-06,0.0199,0.0269,621999.62,69111.06888888888,,9,0 to 100,0,,,69111.06888888888
588,0.0256325552962098,5.339156283374866e-05,0.0151,0.0412,179940.0,19993.33333333333,,9,0 to 100,0,,,19993.33333333333
589,0.0216452009364026,7.666556473829206e-06,0.0152,0.023,102520.0,11391.111111111111,,9,0 to 100,0,,,11391.111111111111
590,0.0445464378831653,0.0002818023182222,0.013,0.0681,286450.0,31827.777777777777,,9,0 to 100,0,,,31827.777777777777
591,0.0373177017321504,1.6655172413793104e-05,0.031,0.0415,118350.0,13150.0,,9,0 to 100,0,,,13150.0
592,0.0289375962677725,6.504477096966094e-05,0.0139999999999999,0.0447,166980.0,18553.33333333333,,9,0 to 100,0,,,18553.33333333333
598,0.016674015973726,1.1405017089843751e-05,0.0087,0.0254,1351907.5,150211.94444444444,,9,100 to 500,0,,,150211.94444444444
602,0.0342661470805705,5.8488192627824e-05,0.0187999999999999,0.039,486218.91,54024.32333333333,,9,0 to 100,0,,,54024.32333333333
606,0.0310199309749784,2.303999999999999e-05,0.0199,0.0319,57950.0,7243.75,,8,0 to 100,0,,,7243.75
615,0.0304868355721685,5.9289999999999976e-05,0.0199,0.0353,62580.16,6953.351111111111,,9,0 to 100,0,,,6953.351111111111
618,0.0189013353530358,5.393008310249308e-05,0.0118999999999999,0.034,684080.8,76008.97777777778,,9,0 to 100,0,,,76008.97777777778
619,0.019,0.0,0.019,0.019,112750.0,12527.777777777776,,9,0 to 100,0,,,12527.777777777776
621,0.027605544349983,1.796381302415717e-05,0.0159,0.045,2491047.29,276783.03222222225,,9,100 to 500,0,,,276783.03222222225
624,0.0482920644764869,0.000324802296824,0.0106,0.0672,516904.37,57433.81888888889,,9,0 to 100,0,,,57433.81888888889
635,0.0202256498590667,2.950841715976331e-05,0.0135,0.0294,651400.0,81425.0,,8,0 to 100,0,,,81425.0
637,0.031609835652217,0.000264589325208,0.0083,0.0544,686106.0,76234.0,,9,0 to 100,0,,,76234.0
642,0.0182746793234899,5.644248868637059e-05,0.0089,0.0624,2199388.72,244376.52444444445,,9,100 to 500,0,,,244376.52444444445
644,0.0515721521937924,0.0002473842975206,0.0139999999999999,0.0684999999999999,1994013.07,221557.0077777778,,9,100 to 500,0,,,221557.0077777778
654,0.0304296189313016,3.27655222790358e-05,0.0239,0.0379,154749.0,17194.333333333332,,9,0 to 100,0,,,17194.333333333332
661,0.0277608450704225,7.848154195011339e-05,0.0178,0.0462,14200.0,1577.7777777777778,,9,0 to 100,0,,,1577.7777777777778
662,0.034383197292952,6.70573224852071e-05,0.022,0.044,621234.66,69026.07333333333,,9,0 to 100,0,,,69026.07333333333
663,0.0185,0.0,0.0185,0.0185,652611.1599999999,72512.3511111111,,9,0 to 100,0,,,72512.3511111111
668,0.0301843340572728,2.337547172912557e-05,0.0179,0.0385,137787.75,15309.75,,9,0 to 100,0,,,15309.75
670,,,,,291072.56,32341.395555555555,,9,0 to 100,0,,,32341.395555555555
671,0.0429733944954128,0.0002096813888888,0.016,0.0559,21320.0,7106.666666666667,,3,0 to 100,0,,,7106.666666666667
672,0.042239608801956,5.538775510204085e-05,0.019,0.047,44990.0,5623.75,,8,0 to 100,0,,,5623.75
673,0.0246054675922315,5.539611644566378e-05,0.0127,0.0538999999999999,175192.0,19465.777777777777,,9,0 to 100,0,,,19465.777777777777
674,0.0196618772070714,9.914303999999997e-06,0.0125,0.0236,238410.0,26490.0,,9,0 to 100,0,,,26490.0
677,0.0272545013426296,2.699437365343184e-05,0.0144999999999999,0.0299,113675.0,12630.555555555557,,9,0 to 100,0,,,12630.555555555557
682,0.0268814769325247,6.136363636363638e-05,0.015,0.04,65135.0,7237.222222222223,,9,0 to 100,0,,,7237.222222222223
686,,,,,168803.71,18755.967777777776,,9,0 to 100,0,,,18755.967777777776
687,0.0342313772686396,0.0002484851145254,0.0129,0.0678,1005896.49,111766.27666666669,,9,100 to 500,0,,,111766.27666666669
689,0.0228139291083633,3.066596839132264e-05,0.0098999999999999,0.0279999999999999,1406795.0,156310.55555555556,,9,100 to 500,0,,,156310.55555555556
692,0.0346515956077134,3.9167882992253445e-05,0.0166,0.0435,505206.57000000007,56134.06333333334,,9,0 to 100,0,,,56134.06333333334
699,0.0296161195400529,0.0002354581457414,0.0109,0.0682,2129590.33,236621.14777777772,,9,100 to 500,0,,,236621.14777777775
700,0.0449337045940858,0.0001928888888888,0.0239,0.0559,89308.3,9923.144444444444,,9,0 to 100,0,,,9923.144444444444
701,0.0354557718694365,4.549661801352796e-05,0.0187999999999999,0.0378,103381.15,11486.794444444444,,9,0 to 100,0,,,11486.794444444444
706,0.035,0.0,0.035,0.035,300.0,300.0,,1,0 to 100,0,,,300.0
708,0.0274824845895572,7.239267805081213e-05,0.0093,0.045,384804.0,42756.0,,9,0 to 100,0,,,42756.0
711,0.0303580757953344,4.027479833972902e-05,0.0154,0.0364,628439.0,69826.55555555556,,9,0 to 100,0,,,69826.55555555556
713,0.0146873442921542,5.407727367325701e-05,0.0098999999999999,0.0596999999999999,120785.5,13420.611111111111,,9,0 to 100,0,,,13420.611111111111
717,0.0203830699169568,2.9522629656683706e-05,0.0154,0.0336,242770.0,26974.444444444445,,9,0 to 100,0,,,26974.444444444445
719,0.0484935774138259,0.0001853786982248,0.0239,0.0559,84016.0,9335.111111111111,,9,0 to 100,0,,,9335.111111111111
724,0.0425052619748193,0.0002763938842975,0.009,0.0674,778418.55,86490.95000000001,,9,0 to 100,0,,,86490.95000000001
727,0.0242429344301464,5.351045417898416e-05,0.0144999999999999,0.0395,117188.0,13020.888888888889,,9,0 to 100,0,,,13020.888888888889
730,0.0249182963195925,0.0003333906225585,0.009,0.0661,237709.18,26412.13111111111,,9,0 to 100,0,,,26412.13111111111
733,0.0193147125025578,1.595712276906436e-05,0.0126,0.0266,175932.0,19548.0,,9,0 to 100,0,,,19548.0
741,0.0161395348837209,2.657812695109261e-05,0.0091,0.0236,36550.0,4061.1111111111113,,9,0 to 100,0,,,4061.1111111111113
755,0.0184902666943719,8.24896694214876e-05,0.0139,0.0339,144184.52000000002,16020.502222222223,,9,0 to 100,0,,,16020.502222222223
758,0.0472313927781871,6.98698224852071e-05,0.019,0.049,27300.0,3033.333333333333,,9,0 to 100,0,,,3033.333333333333
762,0.0269882847056379,7.690537190082647e-05,0.0159,0.0449,168735.13999999998,18748.34888888889,,9,0 to 100,0,,,18748.34888888889
766,,,,,549.9,549.9,,1,0 to 100,0,,,549.9
767,0.0272875494531068,0.0001098568352171,0.0173,0.0449,42970.0,4774.444444444444,,9,0 to 100,0,,,4774.444444444444
769,0.0187999999999999,0.0,0.0187999999999999,0.0187999999999999,2800.0,350.0,,8,0 to 100,0,,,350.0
773,0.0224970960992243,3.120998462129951e-05,0.0115,0.0289,545052.37,60561.374444444446,,9,0 to 100,0,,,60561.374444444446
777,,,,,39511.2,4390.133333333333,,9,0 to 100,0,,,4390.133333333333
